Seed_ID,timestamp,Soil humidity 1,Irrigation field 1,Soil humidity 2,Irrigation field 2,Soil humidity 3,Irrigation field 3,Soil humidity 4,Irrigation field 4,Air temperature (C),Air humidity (%),Pressure (KPa),Wind speed (Km/h),Wind gust (Km/h),Wind direction (Deg),Soil_nutrient_levels,Place,Region,Average_Rainfall,Soil_Moisture,Seedling_growth_rate,Seed_viability,Seed_germination_rate,Soil_texture
1,2/23/2019 0:00,67.92,0,55.72,0,-1.56,1,26.57,1,19.52,55.04,101.5,2.13,6.3,225,94107,MUMBAI,MAHARASHTRA,452,466,617,23,38,27
2,2/23/2019 0:05,67.89,0,55.74,0,-1.51,1,26.58,1,19.49,55.17,101.5,2.01,10.46,123.75,94114,BENGALURU,KARNATAKA,413,457,617,24,38,19
3,2/23/2019 0:10,67.86,0,55.77,0,-1.47,1,26.59,1,19.47,55.3,101.51,1.9,14.63,22.5,432,NAVI MUMBAI,MAHARASHTRA,385,424,617,25,38,31
4,2/23/2019 0:15,67.84,0,55.79,0,-1.42,1,26.61,1,19.54,54.2,101.51,2.28,16.08,123.75,94103,PUDUCHERRY,PUDUCHERRY,390,395,617,26,38,38
5,2/23/2019 0:20,67.81,0,55.82,0,-1.38,1,26.62,1,19.61,53.09,101.51,2.66,17.52,225,94612,CHENNAI,TAMIL NADU,393,408,617,27,38,20
6,2/23/2019 0:25,67.78,0,55.85,0,-1.33,1,26.63,1,19.67,51.91,101.51,2.51,14.69,225,94041,GHAZIABAD,UTTAR PRADESH,397,399,649,28,37,31
7,2/23/2019 0:30,67.76,0,55.87,0,-1.28,1,26.64,1,19.74,50.72,101.5,2.36,11.85,225,94104,CHANDIGARH,CHANDIGARH,396,402,617,29,38,21
8,2/23/2019 0:35,67.73,0,55.9,0,-1.24,1,26.65,1,19.8,49.54,101.5,2.21,9.02,225,94612,HYDERABAD,TELANGANA,421,436,649,30,38,20
9,2/23/2019 0:40,67.7,0,55.92,0,-1.19,1,26.66,1,19.91,47.7,101.5,2.46,7.23,123.75,94107,HYDERABAD,TELANGANA,409,423,649,31,38,23
10,2/23/2019 0:45,67.68,0,55.95,0,-1.15,1,26.67,1,20.02,45.86,101.5,2.71,5.44,22.5,94108,Chennai,TAMIL NADU,400,411,649,32,38,24
11,2/23/2019 0:50,67.65,0,55.97,0,-1.1,1,26.68,1,20.1,44.76,101.5,2.8,6.29,123.75,6775,CHENNAI,TAMIL NADU,397,404,649,33,38,19
12,2/23/2019 0:55,67.62,0,56,0,-1.06,1,26.69,1,20.19,43.67,101.49,2.89,7.14,225,654,NOIDA,UTTAR PRADESH,374,399,617,34,38,45
13,2/23/2019 1:00,67.59,0,56,0,-1.01,1,26.7,1,20.3,42.56,101.49,3,11.96,225,94583,Amravati.,MAHARASHTRA,372,377,617,35,38,44
14,2/23/2019 1:05,67.57,0,56,0,-0.96,1,26.71,1,20.41,41.44,101.49,3.11,16.78,225,94105,MUMBAI,MAHARASHTRA,373,376,649,36,38,46
15,2/23/2019 1:10,67.54,0,56,0,-0.92,1,26.72,1,20.41,41.58,101.48,3.5,17.48,225,94041,MUMBAI,MAHARASHTRA,381,387,649,37,37,21
16,2/23/2019 1:15,67.51,0,56,0,-0.87,1,26.73,1,20.41,41.71,101.48,3.9,18.18,225,94066,GUNTAKAL,ANDHRA PRADESH,373,384,649,38,38,27
